1757338628.642061 server started (19022): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1757338628.642099 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:40 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6041
1757338628.642108 using libevent 2.1.12-stable select
1757338628.642120 using utf8proc 2.10.0
1757338628.642127 using ncurses 6.5 20240427
1757338628.642416 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1757338628.642421 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1757338628.642426 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1757338628.642430 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1757338628.642435 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1757338628.642440 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1757338628.642444 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1757338628.642449 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1757338628.642453 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1757338628.642458 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1757338628.642462 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1757338628.642467 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1757338628.642472 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1757338628.642476 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1757338628.642481 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1757338628.642485 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1757338628.642490 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1757338628.642495 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1757338628.642499 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1757338628.642512 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1757338628.642516 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1757338628.642520 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1757338628.642523 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1757338628.642527 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1757338628.642530 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1757338628.642534 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1757338628.642537 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1757338628.642541 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1757338628.642544 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1757338628.642547 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1757338628.642550 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1757338628.642554 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1757338628.642557 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1757338628.642561 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1757338628.642564 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1757338628.642567 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1757338628.642571 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1757338628.642574 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1757338628.642577 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1757338628.642581 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1757338628.642584 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1757338628.642587 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1757338628.642591 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1757338628.642594 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1757338628.642598 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1757338628.642601 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1757338628.642604 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1757338628.642608 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1757338628.642611 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1757338628.642614 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1757338628.642618 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1757338628.642621 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1757338628.642624 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1757338628.642627 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1757338628.642631 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1757338628.642634 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1757338628.642637 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1757338628.642641 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1757338628.642644 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1757338628.642648 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1757338628.642651 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1757338628.642654 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1757338628.642658 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1757338628.642661 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1757338628.642664 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1757338628.642668 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1757338628.642672 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1757338628.642676 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1757338628.642679 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1757338628.642682 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1757338628.642686 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1757338628.642689 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1757338628.642692 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1757338628.642696 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1757338628.642699 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1757338628.642703 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1757338628.642711 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1757338628.642715 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1757338628.642718 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1757338628.642722 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1757338628.642725 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1757338628.642729 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1757338628.642732 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1757338628.642736 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1757338628.642740 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1757338628.642743 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1757338628.642747 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1757338628.642750 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1757338628.642753 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1757338628.642757 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1757338628.642760 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1757338628.642763 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1757338628.642767 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1757338628.642770 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1757338628.642774 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1757338628.642777 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1757338628.642781 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1757338628.642784 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1757338628.642787 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1757338628.642791 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1757338628.642794 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1757338628.642798 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1757338628.642801 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1757338628.642804 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1757338628.642808 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1757338628.642811 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1757338628.642815 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1757338628.642818 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1757338628.642822 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1757338628.642825 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1757338628.642829 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1757338628.642832 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1757338628.642835 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1757338628.642838 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1757338628.642842 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1757338628.642845 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1757338628.642848 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1757338628.642852 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1757338628.642855 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1757338628.642859 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1757338628.642862 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1757338628.642865 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1757338628.642868 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1757338628.642872 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1757338628.642875 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1757338628.642879 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1757338628.642882 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1757338628.642885 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1757338628.642889 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1757338628.642892 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1757338628.642900 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1757338628.642903 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1757338628.642907 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1757338628.642910 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1757338628.642913 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1757338628.642917 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1757338628.642920 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1757338628.642923 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1757338628.642927 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1757338628.642930 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1757338628.642933 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1757338628.642936 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1757338628.642940 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1757338628.642943 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1757338628.642946 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1757338628.642950 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1757338628.642953 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1757338628.642956 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1757338628.642960 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1757338628.642963 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1757338628.642966 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1757338628.642970 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1757338628.642973 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1757338628.642976 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1757338628.642980 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1757338628.642983 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1757338628.642986 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1757338628.642989 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1757338628.642993 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1757338628.642996 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1757338628.642999 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1757338628.643002 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1757338628.643006 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1757338628.643009 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1757338628.643012 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1757338628.643015 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1757338628.643019 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1757338628.643023 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1757338628.643026 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1757338628.643029 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1757338628.643033 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1757338628.643036 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1757338628.643039 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1757338628.643043 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1757338628.643060 yylex_token: end at WS
1757338628.643064 yylex_token: bind
1757338628.643069 yylex_token: end at WS
1757338628.643072 yylex_token: -N
1757338628.643077 yylex_token: end at WS
1757338628.643080 yylex_token: Send the prefix key
1757338628.643084 yylex_token: end at WS
1757338628.643087 yylex_token: C-b
1757338628.643091 yylex_token: end at WS
1757338628.643094 yylex_token: send-prefix
1757338628.643101 cmd_parse_build_commands 0:0: bind
1757338628.643104 cmd_parse_build_commands 0:1: -N
1757338628.643107 cmd_parse_build_commands 0:2: Send the prefix key
1757338628.643111 cmd_parse_build_commands 0:3: C-b
1757338628.643114 cmd_parse_build_commands 0:4 0:0: send-prefix
1757338628.643139 cmd_parse_build_commands 0:0: send-prefix
1757338628.643158 args_parse: flags end at 1 of 1
1757338628.643163 cmd_parse_build_commands: send-prefix
1757338628.643167 args_parse_flags: next -N
1757338628.643170 args_parse_flag_argument: -N = Send the prefix key
1757338628.643173 args_parse_flags: next C-b
1757338628.643176 args_parse: flags end at 3 of 5
1757338628.643182 args_parse: 3 = C-b (type STRING)
1757338628.643188 args_parse: 4 = send-prefix (type COMMANDS)
1757338628.643204 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1757338628.643216 cmdq_get_command: [bind-key/0x14b707e10] group 2
1757338628.643219 cmdq_append <global>: [bind-key/0x14b707e10]
1757338628.643223 yylex_token: end at WS
1757338628.643225 yylex_token: bind
1757338628.643228 yylex_token: end at WS
1757338628.643232 yylex_token: -N
1757338628.643237 yylex_token: end at WS
1757338628.643241 yylex_token: Rotate through the panes
1757338628.643244 yylex_token: end at WS
1757338628.643248 yylex_token: C-o
1757338628.643252 yylex_token: end at WS
1757338628.643256 yylex_token: rotate-window
1757338628.643261 cmd_parse_build_commands 0:0: bind
1757338628.643265 cmd_parse_build_commands 0:1: -N
1757338628.643270 cmd_parse_build_commands 0:2: Rotate through the panes
1757338628.643275 cmd_parse_build_commands 0:3: C-o
1757338628.643279 cmd_parse_build_commands 0:4 0:0: rotate-window
1757338628.643287 cmd_parse_build_commands 0:0: rotate-window
1757338628.643294 args_parse: flags end at 1 of 1
1757338628.643300 cmd_parse_build_commands: rotate-window
1757338628.643305 args_parse_flags: next -N
1757338628.643310 args_parse_flag_argument: -N = Rotate through the panes
1757338628.643315 args_parse_flags: next C-o
1757338628.643318 args_parse: flags end at 3 of 5
1757338628.643323 args_parse: 3 = C-o (type STRING)
1757338628.643327 args_parse: 4 = rotate-window (type COMMANDS)
1757338628.643338 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1757338628.643345 cmdq_get_command: [bind-key/0x14b708380] group 10
1757338628.643351 cmdq_append <global>: [bind-key/0x14b708380]
1757338628.643355 yylex_token: end at WS
1757338628.643359 yylex_token: bind
1757338628.643363 yylex_token: end at WS
1757338628.643367 yylex_token: -N
1757338628.643372 yylex_token: end at WS
1757338628.643376 yylex_token: Suspend the current client
1757338628.643380 yylex_token: end at WS
1757338628.643384 yylex_token: C-z
1757338628.643388 yylex_token: end at WS
1757338628.643392 yylex_token: suspend-client
1757338628.643397 cmd_parse_build_commands 0:0: bind
1757338628.643401 cmd_parse_build_commands 0:1: -N
1757338628.643405 cmd_parse_build_commands 0:2: Suspend the current client
1757338628.643410 cmd_parse_build_commands 0:3: C-z
1757338628.643414 cmd_parse_build_commands 0:4 0:0: suspend-client
1757338628.643420 cmd_parse_build_commands 0:0: suspend-client
1757338628.643425 args_parse: flags end at 1 of 1
1757338628.643431 cmd_parse_build_commands: suspend-client
1757338628.643436 args_parse_flags: next -N
1757338628.643441 args_parse_flag_argument: -N = Suspend the current client
1757338628.643444 args_parse_flags: next C-z
1757338628.643448 args_parse: flags end at 3 of 5
1757338628.643453 args_parse: 3 = C-z (type STRING)
1757338628.643457 args_parse: 4 = suspend-client (type COMMANDS)
1757338628.643467 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1757338628.643473 cmdq_get_command: [bind-key/0x14b7086d0] group 18
1757338628.643478 cmdq_append <global>: [bind-key/0x14b7086d0]
1757338628.643483 yylex_token: end at WS
1757338628.643487 yylex_token: bind
1757338628.643491 yylex_token: end at WS
1757338628.643494 yylex_token: -N
1757338628.643499 yylex_token: end at WS
1757338628.643502 yylex_token: Select next layout
1757338628.643507 yylex_token: end at WS
1757338628.643510 yylex_token: Space
1757338628.643515 yylex_token: end at WS
1757338628.643519 yylex_token: next-layout
1757338628.643523 cmd_parse_build_commands 0:0: bind
1757338628.643534 cmd_parse_build_commands 0:1: -N
1757338628.643538 cmd_parse_build_commands 0:2: Select next layout
1757338628.643542 cmd_parse_build_commands 0:3: Space
1757338628.643546 cmd_parse_build_commands 0:4 0:0: next-layout
1757338628.643551 cmd_parse_build_commands 0:0: next-layout
1757338628.643557 args_parse: flags end at 1 of 1
1757338628.643562 cmd_parse_build_commands: next-layout
1757338628.643567 args_parse_flags: next -N
1757338628.643571 args_parse_flag_argument: -N = Select next layout
1757338628.643577 args_parse_flags: next Space
1757338628.643582 args_parse: flags end at 3 of 5
1757338628.643588 args_parse: 3 = Space (type STRING)
1757338628.643593 args_parse: 4 = next-layout (type COMMANDS)
1757338628.643603 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1757338628.643609 cmdq_get_command: [bind-key/0x14b708b10] group 26
1757338628.643613 cmdq_append <global>: [bind-key/0x14b708b10]
1757338628.643617 yylex_token: end at WS
1757338628.643622 yylex_token: bind
1757338628.643626 yylex_token: end at WS
1757338628.643631 yylex_token: -N
1757338628.643636 yylex_token: end at WS
1757338628.643640 yylex_token: Break pane to a new window
1757338628.643644 yylex_token: end at WS
1757338628.643648 yylex_token: !
1757338628.643652 yylex_token: end at WS
1757338628.643656 yylex_token: break-pane
1757338628.643661 cmd_parse_build_commands 0:0: bind
1757338628.643666 cmd_parse_build_commands 0:1: -N
1757338628.643672 cmd_parse_build_commands 0:2: Break pane to a new window
1757338628.643677 cmd_parse_build_commands 0:3: !
1757338628.643683 cmd_parse_build_commands 0:4 0:0: break-pane
1757338628.643689 cmd_parse_build_commands 0:0: break-pane
1757338628.643694 args_parse: flags end at 1 of 1
1757338628.643700 cmd_parse_build_commands: break-pane
1757338628.643704 args_parse_flags: next -N
1757338628.643708 args_parse_flag_argument: -N = Break pane to a new window
1757338628.643713 args_parse_flags: next !
1757338628.643718 args_parse: flags end at 3 of 5
1757338628.643723 args_parse: 3 = ! (type STRING)
1757338628.643727 args_parse: 4 = break-pane (type COMMANDS)
1757338628.643739 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1757338628.643746 cmdq_get_command: [bind-key/0x14b708f40] group 34
1757338628.643750 cmdq_append <global>: [bind-key/0x14b708f40]
1757338628.643754 yylex_token: end at WS
1757338628.643758 yylex_token: bind
1757338628.643762 yylex_token: end at WS
1757338628.643765 yylex_token: -N
1757338628.643771 yylex_token: end at WS
1757338628.643775 yylex_token: Split window vertically
1757338628.643779 yylex_token: end at WS
1757338628.643782 yylex_token: "
1757338628.643787 yylex_token: end at WS
1757338628.643792 yylex_token: split-window
1757338628.643798 cmd_parse_build_commands 0:0: bind
1757338628.643802 cmd_parse_build_commands 0:1: -N
1757338628.643807 cmd_parse_build_commands 0:2: Split window vertically
1757338628.643811 cmd_parse_build_commands 0:3: "
1757338628.643815 cmd_parse_build_commands 0:4 0:0: split-window
1757338628.643821 cmd_parse_build_commands 0:0: split-window
1757338628.643826 args_parse: flags end at 1 of 1
1757338628.643831 cmd_parse_build_commands: split-window
1757338628.643836 args_parse_flags: next -N
1757338628.643841 args_parse_flag_argument: -N = Split window vertically
1757338628.643845 args_parse_flags: next "
1757338628.643849 args_parse: flags end at 3 of 5
1757338628.643853 args_parse: 3 = " (type STRING)
1757338628.643857 args_parse: 4 = split-window (type COMMANDS)
1757338628.643867 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1757338628.643872 cmdq_get_command: [bind-key/0x14b7091c0] group 42
1757338628.643876 cmdq_append <global>: [bind-key/0x14b7091c0]
1757338628.643880 yylex_token: end at WS
1757338628.643884 yylex_token: bind
1757338628.643888 yylex_token: end at WS
1757338628.643892 yylex_token: -N
1757338628.643897 yylex_token: end at WS
1757338628.643901 yylex_token: List all paste buffers
1757338628.643906 yylex_token: end at WS
1757338628.643915 yylex_token: #
1757338628.643921 yylex_token: end at WS
1757338628.643925 yylex_token: list-buffers
1757338628.643929 cmd_parse_build_commands 0:0: bind
1757338628.643934 cmd_parse_build_commands 0:1: -N
1757338628.643938 cmd_parse_build_commands 0:2: List all paste buffers
1757338628.643943 cmd_parse_build_commands 0:3: #
1757338628.643947 cmd_parse_build_commands 0:4 0:0: list-buffers
1757338628.643954 cmd_parse_build_commands 0:0: list-buffers
1757338628.643958 args_parse: flags end at 1 of 1
1757338628.643965 cmd_parse_build_commands: list-buffers
1757338628.643969 args_parse_flags: next -N
1757338628.643973 args_parse_flag_argument: -N = List all paste buffers
1757338628.643977 args_parse_flags: next #
1757338628.643981 args_parse: flags end at 3 of 5
1757338628.643985 args_parse: 3 = # (type STRING)
1757338628.643989 args_parse: 4 = list-buffers (type COMMANDS)
1757338628.643998 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1757338628.644003 cmdq_get_command: [bind-key/0x14b709490] group 50
1757338628.644009 cmdq_append <global>: [bind-key/0x14b709490]
1757338628.644020 yylex_token: end at WS
1757338628.644024 yylex_token: bind
1757338628.644029 yylex_token: end at WS
1757338628.644035 yylex_token: -N
1757338628.644041 yylex_token: end at WS
1757338628.644045 yylex_token: Rename current session
1757338628.644049 yylex_token: end at WS
1757338628.644053 yylex_token: $
1757338628.644057 yylex_token: end at WS
1757338628.644062 yylex_token: command-prompt
1757338628.644067 yylex_token: end at WS
1757338628.644074 yylex_token: -I#S
1757338628.644080 yylex_token: end at WS
1757338628.644084 yylex_token: rename-session
